host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	0	5.635289	53.242538	0.43474000000476837	1.892244500656128	0.001	0.8988999999809265	0.4341	1.8603421203613282	0.9135	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	1	58.880692	45.832704	0.60704	1.406963349456787	0.001	0.959800000038147	0.624	1.3680495134353639	0.9631	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	2	104.715701	46.085195	0.68322	1.1883832929992675	0.001	0.974099999961853	0.584	1.54164119682312	0.9562	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	3	150.803423	45.96058	0.72618	1.052029449043274	0.001	0.9809	0.4236	2.5567803295135496	0.9438	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	4	196.76641	46.228621	0.7554399999809265	0.9623233281326294	0.001	0.9843600000190735	0.6926	1.1729256328582764	0.977	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	5	242.997861	46.26179	0.777099999961853	0.8927272863960266	0.001	0.98674	0.5597	1.8422244136810302	0.9594	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	6	289.261239	46.739325	0.7941	0.8407701900482177	0.001	0.9888	0.7226	1.0934522491455079	0.9818	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	7	336.002987	46.138168	0.803680000038147	0.8044694976615906	0.001	0.9893000000190735	0.7625	0.9424245034217834	0.9844	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	8	382.143276	46.155554	0.8129200000190735	0.7699207785415649	0.001	0.99094	0.7181	1.116132977104187	0.9844	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.221463	50000	10000	1.	20180510:030905	20180510:031659	9	428.301018	45.9435	0.8248000000190735	0.7332638402748108	0.001	0.99232	0.657	1.3557718929290772	0.9649	subtract_pixel_mean=True,data_augmentation=True,checkpoint_epochs=False,n_gpus=1,num_classes=10,n=9,batch_size=128,epochs=10,version=1,backend=keras,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	0	4.826519	53.1523	0.4368000000190735	1.91001363571167	0.001	0.8969399999809266	0.3316	3.0112054039001466	0.8587	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	1	57.981799	47.187403	0.593639999961853	1.4328728720092774	0.001	0.957279999961853	0.5197	1.6739292709350586	0.9249	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	2	105.172142	47.173751	0.66794	1.2205507373046875	0.001	0.970779999961853	0.5102	1.7605414930343628	0.9165	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	3	152.348641	47.092573	0.72124	1.0764519693756103	0.001	0.9779200000190735	0.6488	1.2841711234092712	0.9707	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	4	199.443997	47.388811	0.7493399999809265	0.9805904919433593	0.001	0.983439999961853	0.68	1.2339867414474488	0.9753	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	5	246.835788	47.290937	0.7695399999618531	0.9096934430503846	0.001	0.9856800000381469	0.6505	1.294156237602234	0.9769	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	6	294.129776	47.225207	0.787380000038147	0.85321869556427	0.001	0.9880000000381469	0.6885	1.2036096141815185	0.9699	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	7	341.357616	47.220526	0.80124	0.8104382416534424	0.001	0.989060000038147	0.6685	1.3017457426071166	0.9619	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.200699	50000	10000	1.	20180510:171010	20180510:171813	8	388.580977	47.246167	0.809480000038147	0.7795525611877442	0.001	0.98976	0.7628	0.9607581254959107	0.9735	num_classes=10,subtract_pixel_mean=True,batch_size=128,n=9,epochs=10,checkpoint_epochs=False,backend=keras,version=1,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
